workerID,gender,age,income,language,order,animalID,animal,QUD,condition,isMetaphor,rating
33,F,55,6,English,1,1,ant,small,figurative,T,0.26
33,F,55,6,English,2,12,rabbit,cute,literal,F,null
33,F,55,6,English,3,5,panda,big,figurative,T,0.33
33,F,55,6,English,4,6,monkey,smart,figurative,T,0.1
33,F,55,6,English,5,11,lion,fierce,figurative,T,0.46
33,F,55,6,English,6,8,giraffe,long,figurative,T,0.38
33,F,55,6,English,7,4,elephant,hard,figurative,T,0.16
33,F,55,6,English,8,7,penguin,null,figurative,T,0.23
33,F,55,6,English,9,10,turtle,slow,figurative,T,0.78
33,F,55,6,English,10,9,cheetah,null,figurative,T,0.21
33,F,55,6,English,11,2,whale,big,literal,F,null
33,F,55,6,English,12,3,bird,fast,literal,F,null
34,M,25,4,English,1,10,turtle,slow,literal,F,null
34,M,25,4,English,2,7,penguin,cute,figurative,T,0.27
34,M,25,4,English,3,3,bird,small,figurative,T,0.83
34,M,25,4,English,4,2,whale,null,figurative,T,0.78
34,M,25,4,English,5,4,elephant,hard,figurative,T,0.08
34,M,25,4,English,6,8,giraffe,null,figurative,T,0.14
34,M,25,4,English,7,9,cheetah,agile,figurative,T,0.96
34,M,25,4,English,8,1,ant,null,literal,F,null
34,M,25,4,English,9,5,panda,big,figurative,T,0.96
34,M,25,4,English,10,12,rabbit,fast,literal,F,null
34,M,25,4,English,11,6,monkey,null,figurative,T,0.3
34,M,25,4,English,12,11,lion,strong,figurative,T,0.07
35,M,25,4,English,1,4,elephant,hard,figurative,T,0.22
35,M,25,4,English,2,10,turtle,strong,figurative,T,0.45
35,M,25,4,English,3,7,penguin,cute,figurative,T,0.3
35,M,25,4,English,4,11,lion,null,figurative,T,0.59
35,M,25,4,English,5,3,bird,small,literal,F,null
35,M,25,4,English,6,1,ant,industrious,figurative,T,0.94
35,M,25,4,English,7,8,giraffe,null,literal,F,null
35,M,25,4,English,8,12,rabbit,cute,literal,F,null
35,M,25,4,English,9,9,cheetah,agile,figurative,T,0.98
35,M,25,4,English,10,2,whale,majestic,figurative,T,0.53
35,M,25,4,English,11,6,monkey,null,figurative,T,0.21
35,M,25,4,English,12,5,panda,cute,figurative,T,0.41
36,M,25,4,English,1,2,whale,majestic,figurative,T,0.39
36,M,25,4,English,2,1,ant,industrious,figurative,T,0.13
36,M,25,4,English,3,4,elephant,null,figurative,T,0.31
36,M,25,4,English,4,7,penguin,null,figurative,T,0.12
36,M,25,4,English,5,9,cheetah,null,figurative,T,0.27
36,M,25,4,English,6,5,panda,cute,figurative,T,0.62
36,M,25,4,English,7,8,giraffe,null,literal,F,null
36,M,25,4,English,8,12,rabbit,null,literal,F,null
36,M,25,4,English,9,3,bird,fast,figurative,T,0.17
36,M,25,4,English,10,6,monkey,funny,figurative,T,0.25
36,M,25,4,English,11,10,turtle,slow,figurative,T,0.22
36,M,25,4,English,12,11,lion,strong,literal,F,null
37,F,45,0,English,1,7,penguin,cute,figurative,T,0.19
37,F,45,0,English,2,1,ant,null,literal,F,null
37,F,45,0,English,3,2,whale,majestic,figurative,T,0.87
37,F,45,0,English,4,12,rabbit,null,figurative,T,0.07
37,F,45,0,English,5,4,elephant,null,figurative,T,0.22
37,F,45,0,English,6,5,panda,big,figurative,T,0.17
37,F,45,0,English,7,8,giraffe,long,figurative,T,0.68
37,F,45,0,English,8,10,turtle,strong,literal,F,null
37,F,45,0,English,9,6,monkey,funny,figurative,T,0.68
37,F,45,0,English,10,3,bird,small,figurative,T,0.86
37,F,45,0,English,11,11,lion,null,literal,F,null
37,F,45,0,English,12,9,cheetah,fast,figurative,T,0.95
38,F,35,8,english,1,2,whale,big,figurative,T,0.89
38,F,35,8,english,2,4,elephant,hard,figurative,F,0.1
38,F,35,8,english,3,12,rabbit,cute,literal,F,0
38,F,35,8,english,4,7,penguin,null,literal,F,null
38,F,35,8,english,5,11,lion,strong,figurative,T,0.68
38,F,35,8,english,6,10,turtle,strong,figurative,T,0.65
